VB,VBZ,VBG,VBD,VBN,OR,prefix.class,functional,comments
ARISE,ARISES,ARISING,AROSE,ARISEN,ARISED,RISE,FALSE,
AWAKE,AWAKES,AWAKING,AWOKE,AWOKEN,AWAKED,WAKE,FALSE,
BEAR,BEARS,BEARING,BORE,BORNE,BEARED,,FALSE,
BEAT,BEATS,BEATING,BEAT,BEAT,BEATED,,FALSE,
BECOME,BECOMES,BECOMING,BECAME,BECOME,BECOMED,COME,FALSE,
BEFALL,BEFALLS,BEFALLING,BEFELL,BEFALLEN,BEFALLED,FALL,FALSE,
BEGIN,BEGINS,BEGINNING,BEGAN,BEGUN,BEGINED,,FALSE,
BEHOLD,BEHOLDS,BEHOLDING,BEHELD,BEHELD,BEHOLDED,HOLD,FALSE,
BEND,BENDS,BENDING,BENT,BENT,BENDED,,FALSE,
BESET,BESETS,BESETTING,BESET,BESET,BESETTED,SET,FALSE,
BIND,BINDS,BINDING,BOUND,BOUND,BINDED,,FALSE,
BITE,BITES,BITING,BIT,BITTEN,BITED,,FALSE,
BLEED,BLEEDS,BLEEDING,BLED,BLED,BLEEDED,,FALSE,
BLOW,BLOWS,BLOWING,BLEW,BLOWN,BLOWED,,FALSE,
BREAK,BREAKS,BREAKING,BROKE,BROKEN,BREAKED,,FALSE,
BREED,BREEDS,BREEDING,BRED,BRED,BREEDED,,FALSE,
BRING,BRINGS,BRINGING,BROUGHT,BROUGHT,BRINGED,,FALSE,
BUILD,BUILDS,BUILDING,BUILT,BUILT,BUILDED,,FALSE,
BURST,BURSTS,BURSTING,BURST,BURST,BURSTED,,FALSE,
BUY,BUYS,BUYING,BOUGHT,BOUGHT,BUYED,,FALSE,
CAST,CASTS,CASTING,CAST,CAST,CASTED,,FALSE,
CATCH,CATCHES,CATCHING,CAUGHT,CAUGHT,CATCHED,,FALSE,
CHOOSE,CHOOSES,CHOOSING,CHOSE,CHOSEN,CHOOSED,,FALSE,
CLING,CLINGS,CLINGING,CLUNG,CLUNG,CLINGED,,FALSE,
COME,COMES,COMING,CAME,COME,COMED,COME,FALSE,
COST,COSTS,COSTING,COST,COST,COSTED,,FALSE,
CUT,CUTS,CUTTING,CUT,CUT,CUTTED,,FALSE,
DEAL,DEALS,DEALING,DEALT,DEALT,DEALED,,FALSE,
DIG,DIGS,DIGGING,DUG,DUG,DIGGED,,FALSE,
DRAW,DRAWS,DRAWING,DREW,DRAWN,DRAWED,DRAW,FALSE,
DRINK,DRINKS,DRINKING,DRANK,DRUNK,DRINKED,,FALSE,
DRIVE,DRIVES,DRIVING,DROVE,DRIVEN,DRIVED,,FALSE,
EAT,EATS,EATING,ATE,EATEN,EATED,,FALSE,
FALL,FALLS,FALLING,FELL,FALLEN,FALLED,FALL,FALSE,
FEED,FEEDS,FEEDING,FED,FED,FEEDED,,FALSE,
FEEL,FEELS,FEELING,FELT,FELT,FEELED,,FALSE,
FIGHT,FIGHTS,FIGHTING,FOUGHT,FOUGHT,FIGHTED,,FALSE,
FIND,FINDS,FINDING,FOUND,FOUND,FINDED,,FALSE,
FLEE,FLEES,FLEEING,FLED,FLED,FLEED,,FALSE,
FLING,FLINGS,FLINGING,FLUNG,FLUNG,FLINGED,,FALSE,
