"filename","corpus","utterance"
"US/Brown/Adam/adam01.xml","brown","big drum"
"US/Brown/Adam/adam01.xml","brown","horse"
"US/Brown/Adam/adam01.xml","brown","who is that"
"US/Brown/Adam/adam01.xml","brown","those are checkers"
"US/Brown/Adam/adam01.xml","brown","two checkers yes"
"US/Brown/Adam/adam01.xml","brown","play checkers"
"US/Brown/Adam/adam01.xml","brown","big horn"
"US/Brown/Adam/adam01.xml","brown","get over Mommy"
"US/Brown/Adam/adam01.xml","brown","shadow"
"US/Brown/Adam/adam01.xml","brown","I like it"
"US/Brown/Adam/adam01.xml","brown","why don't you read Shadow yourself"
"US/Brown/Adam/adam01.xml","brown","that's a terribly small horse for you to ride"
"US/Brown/Adam/adam01.xml","brown","why don't you look at some of the toys in the basket"
"US/Brown/Adam/adam01.xml","brown","want to"
"US/Brown/Adam/adam01.xml","brown","do you want to see what I have"
"US/Brown/Adam/adam01.xml","brown","what is that"
"US/Brown/Adam/adam01.xml","brown","not in your mouth"
"US/Brown/Adam/adam01.xml","brown","let me put them together"
"US/Brown/Adam/adam01.xml","brown","no put floor"
"US/Brown/Adam/adam01.xml","brown","no that's his pencil"
"US/Brown/Adam/adam01.xml","brown","that's not Daddy that's Colin"
"US/Brown/Adam/adam01.xml","brown","I think perhaps he's going back to school"
"US/Brown/Adam/adam01.xml","brown","not on the window sill Adam"
"US/Brown/Adam/adam01.xml","brown","you write on the paper"
"US/Brown/Adam/adam01.xml","brown","my paper"
"US/Brown/Adam/adam01.xml","brown","circus"
"US/Brown/Adam/adam01.xml","brown","sitting in Adam's chair"
"US/Brown/Adam/adam01.xml","brown","why don't you read it to me"
"US/Brown/Adam/adam01.xml","brown","dog"
"US/Brown/Adam/adam01.xml","brown","that's Cathy"
"US/Brown/Adam/adam01.xml","brown","horn"
"US/Brown/Adam/adam01.xml","brown","is this a horn"
"US/Brown/Adam/adam01.xml","brown","how many do you have like this"
"US/Brown/Adam/adam01.xml","brown","where are you going"
"US/Brown/Adam/adam01.xml","brown","how does a bunny walk"
"US/Brown/Adam/adam01.xml","brown","does he walk like you or does he go hop hop hop"
"US/Brown/Adam/adam01.xml","brown","what are you doing"
"US/Brown/Adam/adam01.xml","brown","sweep broom"
"US/Brown/Adam/adam01.xml","brown","is that a broom"
"US/Brown/Adam/adam01.xml","brown","I thought it was a brush"
"US/Brown/Adam/adam01.xml","brown","okay"
"US/Brown/Adam/adam01.xml","brown","Adam Smith"
"US/Brown/Adam/adam01.xml","brown","is that the bunny name"
"US/Brown/Adam/adam01.xml","brown","get what"
"US/Brown/Adam/adam01.xml","brown","what"
"US/Brown/Adam/adam01.xml","brown","what is it"
"US/Brown/Adam/adam01.xml","brown","hear a tractor"
"US/Brown/Adam/adam01.xml","brown","no I think that's a truck"
"US/Brown/Adam/adam01.xml","brown","if you look out the other window maybe you'll see it"
"US/Brown/Adam/adam01.xml","brown","did you see the truck"
"US/Brown/Adam/adam01.xml","brown","no you didn't see it"
"US/Brown/Adam/adam01.xml","brown","there goes one"
"US/Brown/Adam/adam01.xml","brown","yes there goes one"
"US/Brown/Adam/adam01.xml","brown","put the truck where"
"US/Brown/Adam/adam01.xml","brown","I think that one's too large to go in the window"
"US/Brown/Adam/adam01.xml","brown","tow truck come here"
"US/Brown/Adam/adam01.xml","brown","where"
"US/Brown/Adam/adam01.xml","brown","oh yeah"
