"corpus","utterance"
"gleason","okay you wanna sit there xxx"
"gleason","xxx okay"
"gleason","noodles noodles"
"gleason","good"
"gleason","now go tell Dad to come on huh"
"gleason","wanna tell Dad to come on"
"gleason","byebye"
"gleason","xxx"
"gleason","Andy no no no"
"gleason","we're going to have dinner dear"
"gleason","come on"
"gleason","xxx"
"gleason","oh but we're all gonna eat dinner"
"gleason","I I wanna find out about what you did with Karen today"
"gleason","and so who's"
"gleason","who's your favorite baby"
"gleason","Karen is"
"gleason","and what's your friend's name"
"gleason","come and sit down at the table"
"gleason","what'd you try again"
"gleason","no special stew for you"
"gleason","that rhymes huh"
"gleason","stew"
"gleason","a special stew for you"
"gleason","yeah"
"gleason","alright"
"gleason","oh"
"gleason","no I'm just going to get some salt"
"gleason","that's right"
"gleason","Andy was telling Janet special science museum was past Japan past New York"
"gleason","but near the Children's_Museum"
"gleason","what rhymes"
"gleason","no"
"gleason","what day is today"
"gleason","anybody want salad now"
"gleason","do you want some salad"
"gleason","yup"
"gleason","you know the freezer's getting bare"
"gleason","xxx"
"gleason","that's right"
"gleason","did did you see did you see anybody when you were playing outside today"
"gleason","that you knew"
"gleason","no talk with your mouth full"
"gleason","yeah"
"gleason","Andy didn't want to go to the park and he played a long time"
"gleason","you did"
"gleason","did he talk to you"
"gleason","what'd he say"
"gleason","he did"
"gleason","what'd he tell ya"
"gleason","five hours"
"gleason","he must have had a lot"
"gleason","did he tell you where he'd been"
"gleason","did he tell you where he had been"
"gleason","it's growing bigger and bigger"
"gleason","the same big"
"gleason","okay"
"gleason","yeah"
"gleason","come on"
"gleason","hey Andy you want some watermelon for dessert"
"gleason","oh well you can"
"gleason","he was telling Janet how it doesn't work as_well as it did"
"gleason","yeah"
"gleason","well ya said it didn't go as fast as it did right"
"gleason","okay go back and finish up some more food"
"gleason","then what d ya want some watermelon"
"gleason","huh"
"gleason","now let me see"
"gleason","xxx"
"gleason","everything caught when you go over it"
"gleason","want some more"
"gleason","did Karen read you any storys today"
"gleason","call down"
"gleason","it doesn't work that well"
"gleason","no Andy hasn't finished yet"
"gleason","oh"
"gleason","um"
"gleason","oops"
"gleason","right down on the tush huh"
"gleason","ummhm"
"gleason","xxx"
"gleason","xxx"
"gleason","huh"
"gleason","if it was your household"
"gleason","xxx"
"gleason","xxx"
"gleason","yep"
"gleason","you planted it"
"gleason","it's got so big since you planted it"
"gleason","okay you want your watermelon now"
"gleason","you want this big piece"
"gleason","okay I'm gonna put it in a plate for you"
"gleason","you want some"
"gleason","if have_to move Andy where wo you like the move to be"
"gleason","Cambridge"
"gleason","Cambridge or Boston"
"gleason","maybe huh"
"gleason","you know why"
"gleason","cause Dad's bigger than you"
"gleason","you won the race anyway Dad"
"gleason","cause we scooped out some"
"gleason","do you want some more"
"gleason","we scooped out some of the center"
"gleason","what rhymes with watermelon"
"gleason","need xxx"
"gleason","need"
"gleason","that's right"
"gleason","I feel that a lot right now"
"gleason","I came in second"
"gleason","Dad won I came in second you came in third"
"gleason","because"
"gleason","you finished yet"
"gleason","Andy"
"gleason","okay"
"gleason","okay you can go talk to Janet now if you want"
"gleason","oh you wanted to show that to her"
"gleason","I don't know what you did with it"
"gleason","look over round your chair"
"gleason","xxx"
"gleason","okay"
"gleason","you can"
"gleason","are you hungry"
"gleason","Mike"
"gleason","how much longer did you put those on for"
"gleason","ahead of"
"gleason","yeah"
"gleason","don't play with that"
"gleason","because it xxx you"
