"Corpus","Utterance"
"snow","other indian book"
"snow","yoghurt"
"snow","up where"
"snow","on the shelf"
"snow","xxx"
"snow","gonna read that"
"snow","yeah that's the book that Daddy reads"
"snow","that's right"
"snow","you want Daddy to read that one"
"snow","well maybe Lia can read it with you"
"snow","I don't think I know any of these songs Nathaniel"
"snow","but we'll look"
"snow","here we know this one"
"snow","go tell aunt Rhodie"
"snow","go tell aunt Rhodie"
"snow","go tell aunt Rhodie"
"snow","the grey goose is dead"
"snow","you wanna sing it"
"snow","go tell aunt Rhodie"
"snow","go oh you don't want that"
"snow","okay"
"snow","do you want Mummy to sing again"
"snow","well I don't know this one"
"snow","we have_to keep going"
"snow","o what's that"
"snow","that's a clock"
"snow","how many clocks"
"snow","hickory_dickory_dock"
"snow","the mouse ran up the clock"
"snow","the clock struck one"
"snow","the mouse ran down"
"snow","hickory_dickory_dock"
"snow","oh do you know the muffin man"
"snow","the Muffin man the muffin man"
"snow","do you know the muffin man"
"snow","who lives in Drury Lane"
"snow","don't know this one"
"snow","have_to turn the page"
"snow","don't know this one either"
"snow","don't know this one either"
"snow","hmm"
"snow","jingle jingle"
"snow","jingle all the way"
"snow","oh what fun it is to ride"
"snow","in a one horse open sleigh"
"snow","don't know that one"
"snow","what"
"snow","hard to turn the page isn't it yeah"
"snow","there you go"
"snow","look what's this"
"snow","triangle yes"
"snow","what's this"
"snow","what is that"
"snow","a rabbit"
"snow","don't know that one"
"snow","biobows again"
"snow","you want me to sing that one"
"snow","I don't know that one"
"snow","I'll sing this one"
"snow","glory glory hallelujah"
"snow","glory glory hallelujah"
"snow","glory glory hallelujah"
"snow","his truth is marching on"
"snow","oh what's this Nathaniel"
"snow","what is that"
"snow","it's a train"
"snow","I don't know that one"
"snow","have_to turn the page"
"snow","huh"
"snow","what is it"
"snow","don't know that one"
"snow","we know this one"
"snow","baa black sheep have you any wool"
"snow","yes sir yes sir"
"snow","three bags full"
"snow","one for my master and one for my dame"
"snow","and one for the little boy who lives down the lane"
"snow","okay"
"snow","that was it"
"snow","don't know that one"
"snow","don't know that one"
"snow","this one is"
"snow","oh dear what can the matter be"
"snow","oh dear what can the matter be"
"snow","oh dear what can the matter be"
"snow","Johnny's so long at the fair"
