"Corpus","Utterance"
"brent","maybe we'll get dressed huh"
"brent","an go outside"
"brent","yes"
"brent","hmm"
"brent","you wanna get dressed and go out"
"brent","so nice outside"
"brent","yes"
"brent","what do we wanna play"
"brent","cow"
"brent","cow"
"brent","chickie"
"brent","chickie"
"brent","yes"
"brent","sheep"
"brent","look"
"brent","cow"
"brent","cow"
"brent","sheep"
"brent","cow"
"brent","that's a cow"
"brent","moo"
"brent","cow says moo"
"brent","moo"
"brent","moo"
"brent","mhm"
"brent","chickie"
"brent","cow"
"brent","moo"
"brent","wanna see this sheep"
"brent","sheep"
"brent","who's a good boy"
"brent","who's a good boy"
"brent","yeah you are"
"brent","you're the good boy huh"
"brent","come on"
"brent","let's go get dressed"
"brent","we'll go outside"
"brent","it's so nice out today"
"brent","hmm"
"brent","yes"
"brent","no don't pull the microphone sweet pea"
"brent","it's not a toy"
"brent","no no"
"brent","who is this good boy huh"
"brent","hmm"
"brent","whoa whoa whoa"
"brent","he doesn't wanna get changed"
"brent","no"
"brent","oh no"
"brent","getting changed is so unpleasant"
"brent","I'd rather just stay in my p forever"
"brent","yes"
"brent","oh"
"brent","yes"
"brent","yes he would"
"brent","well I'll bite your tummy"
"brent","yes"
"brent","I bite the tummy"
"brent","yes"
"brent","squeaky"
"brent","hey hey hey hey hey"
"brent","don't pull Mama's hair"
"brent","come big baby"
"brent","come on"
"brent","let's go"
"brent","let's go to the bath"
"brent","and then we'll get dressed huh"
"brent","oh here we are"
"brent","whoop"
"brent","careful careful"
"brent","good boy"
"brent","good boy"
"brent","yes you are a good boy"
"brent","yes you are"
"brent","mkay"
"brent","put down"
"brent","just for a minute"
"brent","just for a minute big boy"
"brent","look at you"
"brent","you look so good"
"brent","what a beautiful boy"
"brent","what a beautiful boy"
"brent","where you get to be so beautiful huh"
"brent","we'll never know"
"brent","what are you"
"brent","come here"
"brent","oh no"
"brent","don't fuss sweet"
"brent","we'll just do this"
"brent","it'll gonna be on in a second"
"brent","oh no one wants to get dressed"
"brent","I know"
"brent","getting dressed is a drag"
"brent","yes it is a drag"
"brent","but you are a good boy"
"brent","yes you are"
"brent","okay okay"
"brent","yes"
"brent","look at it"
"brent","it's outside"
"brent","it looks so cheerful today"
"brent","and it's nice and warm"
"brent","xxx"
"brent","one hat"
"brent","come on"
"brent","up"
"brent","up"
"brent","your arm"
"brent","one arm"
"brent","through the sleeve"
"brent","oh good boy"
"brent","good boy"
"brent","other arm"
"brent","come on"
"brent","come on arm"
"brent","here comes the arm"
"brent","through the sleeve"
"brent","yes"
"brent","yes"
"brent","he's wearing a shirt"
"brent","he's wearing his shirt"
"brent","now I put him down"
"brent","here's the pants"
"brent","what are these"
"brent","what are these silly things"
"brent","these are pants"
"brent","for a boy"
"brent","pants for a good boy"
"brent","okay"
"brent","up"
"brent","come on"
"brent","over the bummie"
"brent","one arm"
"brent","c on"
"brent","here's the suspender"
"brent","c on"
"brent","here comes another one"
"brent","where did it go"
"brent","it's shy"
"brent","it's hiding on me"
"brent","oh"
"brent","there it is"
"brent","okay"
"brent","ready"
"brent","hang on"
"brent","here's the other one"
"brent","oh it's all twisty"
"brent","hang on"
"brent","don't fuss xxx"
"brent","I'm getting it"
"brent","I'm getting"
"brent","oh"
"brent","there it is"
"brent","okay"
"brent","he's off really"
"brent","he's all over the place"
"brent","what are you doing you big funny boy"
"brent","what are you doing"
"brent","squirm"
"brent","hey"
"brent","one more"
"brent","one more button"
"brent","what are you doing"
"brent","what are you doing"
"brent","you're so silly today"
"brent","you're so silly today"
"brent","now we need to find some socks"
"brent","where are the socks"
"brent","here are some"
"brent","green socks"
"brent","they don't really go with your outfit"
"brent","but"
"brent","they are the kind that stay on"
"brent","so we'll put these on you"
"brent","hey what are you doing squirmy"
"brent","one"
"brent","one foot"
"brent","other foot"
"brent","this your sock"
"brent","give me your foot"
"brent","other foot"
"brent","now"
"brent","crazy shoes"
"brent","one"
"brent","oh"
"brent","you wanna come outside with me"
"brent","oh look"
"brent","look"
"brent","who's the good looking"
"brent","who's that"
"brent","who's the baby"
"brent","who is that"
"brent","he's so good"
"brent","he is so good"
"brent","where did I get such a good son"
"brent","I'll never know"
"brent","hang on"
"brent","let me put on your hat"
"brent","www"
"brent","let's get Russell to come out with us"
"brent","so nice out"
"brent","he should come out"
"brent","www"
"brent","xxx"
"brent","there's the kitty"
"brent","www"
"brent","he doesn't wanna come out"
"brent","what will we do"
"brent","www"
"brent","oh he doesn't wanna come out"
"brent","so we'll go out without him"
"brent","here we go"
"brent","too bad the ground is all wet huh"
"brent","it's all wet"
"brent","so we can't really get on the ground"
"brent","without getting drenched"
"brent","maybe I'll bring a towel and put it down"
"brent","huh"
"brent","that's what I'll do"
"brent","I'll bring a towel"
"brent","put it down"
"brent","so you can"
"brent","you won't get your"
"brent","your bummie all wet"
"brent","hmm"
"brent","is there a big towel"
"brent","in here"
"brent","this one is okay"
"brent","xxx"
"brent","xxx"
"brent","here we go huh"
"brent","I'll put this down"
"brent","and put you on it"
"brent","I know you'll crawl off of it"
"brent","but this is a nice"
"brent","but this is a nice effort to keep you dry huh"
"brent","there we go"
"brent","who's so good"
"brent","hello baby"
"brent","hello"
"brent","hello"
"brent","see"
"brent","it's all wet"
"brent","the ground is wet"
"brent","oh yes"
"brent","pile of leaves"
"brent","leaves"
"brent","they're icky"
"brent","don't eat them"
"brent","it's so nice out today huh"
"brent","thank"
"brent","thank"
"brent","what's this"
"brent","a stick"
"brent","a stick"
"brent","you don't wanna eat the stick though Booboo"
"brent","no no"
"brent","not to eat the stick"
"brent","grass"
"brent","dirt"
"brent","leaves"
"brent","yeah you like leaves don't you"
"brent","no no"
"brent","no sweet pea"
"brent","oh look"
"brent","there's birds"
"brent","no don't eat that"
"brent","no no"
"brent","no no"
"brent","not to eat the dirt Booboo"
"brent","come"
"brent","come"
"brent","dirt's not good to eat"
"brent","no"
"brent","no not to eat the dirt Booboo"
"brent","it's not good"
"brent","yuck"
"brent","yuck"
"brent","yuck"
"brent","yucky dirt"
"brent","yuck"
"brent","no you think it's funny"
"brent","you think it's funny"
"brent","you who have dirt all over your tongue huh"
"brent","no"
"brent","not the more leaves"
"brent","no"
"brent","there he goes"
"brent","there he goes"
"brent","hello"
"brent","hello baby"
"brent","big leaf"
"brent","off he goes"
"brent","uhoh"
"brent","no no"
"brent","sweetheart"
"brent","Alexander"
"brent","no no"
"brent","you don't wanna go over there"
"brent","no no"
"brent","oh"
"brent","is he drenched"
"brent","yes a little bit"
"brent","let's go this way"
"brent","this is better"
"brent","he's going back"
"brent","uhoh"
"brent","here comes a doggie"
"brent","see the doggie"
"brent","a big doggie see"
"brent","look at the doggie Boo"
"brent","see"
"brent","look"
"brent","right there"
"brent","that's a man with a ladder"
"brent","Alexander"
"brent","no no"
"brent","come back"
"brent","we're not going over there today"
"brent","it's all muddy"
"brent","come back"
"brent","who is this bo"
"brent","oh no no"
"brent","don't eat leaves"
"brent","no baby"
"brent","no no"
"brent","look at the crocuses Boobooneen"
"brent","look at the flowers"
"brent","and the tree"
"brent","yeah"
"brent","yeah"
"brent","yes"
"brent","good boy"
"brent","you're a good boy"
"brent","even if your knees are soaking wet"
"brent","it doesn't matter"
"brent","we'll just change you when we get in"
"brent","it's nice outside isn't it"
"brent","lot more going on than inside"
"brent","look out"
"brent","those are leaves all over your hands"
"brent","Alexander"
"brent","here let me dry off your hands"
"brent","come"
"brent","I got one"
"brent","one hand"
"brent","gi me the other hand"
"brent","can I have the other hand please"
"brent","come hand"
"brent","come"
"brent","come"
"brent","you wanna come sit here"
"brent","xxx"
"brent","we'll play some games"
"brent","clap hands"
"brent","Boneen"
"brent","no"
"brent","you don't want to"
"brent","okay"
"brent","hmm"
"brent","you wanna sing"
"brent","you wanna clap hands"
"brent","Alexander"
"brent","look"
"brent","oh"
"brent","there's much too much going on here to do a singing and clapping"
"brent","that's Mama's"
"brent","that's not for you"
"brent","Alexander"
"brent","there was a farmer had a dog and Bingo was his name oh"
"brent","b i n g o"
"brent","b i n g o"
"brent","b i n g o"
"brent","Bingo was his name oh"
"brent","no no"
"brent","that's not for a baby"
"brent","that's my tape recorder thing"
"brent","there was a farmer had a dog"
"brent","Bingo was his name oh"
"brent","i n g o"
"brent","i n g o"
"brent","i n g o"
"brent","Bingo was his name oh"
"brent","yes"
"brent","there was farmer"
"brent","had a dog"
"brent","nope"
"brent","he wants to crawl"
"brent","Bingo was his name oh"
"brent","n g o"
"brent","n g o"
"brent","n g o"
"brent","Bingo was his name oh"
"brent","there was a farmer had a dog"
"brent","Bingo was his name oh"
"brent","g o"
"brent","g o"
"brent","g o"
"brent","Bingo was his name oh"
"brent","there was a farmer had a dog"
"brent","uhoh leaves on his hands"
"brent","icky icky icky icky icky"
"brent","icky"
"brent","icky icky icky icky icky"
"brent","icky icky icky"
"brent","icky icky icky icky icky"
"brent","icky icky icky icky"
"brent","icky"
"brent","you wanna get up"
"brent","here"
"brent","come on"
"brent","you wanna get up and walk around"
"brent","here's one hand"
"brent","here's the other"
"brent","up he goes"
"brent","oh he's ready to walk"
"brent","he's ready to walk"
"brent","one hand"
"brent","he's so tough"
"brent","he is so tough"
"brent","yes"
"brent","he's a big boy"
"brent","very tough and independent"
"brent","gonna walk"
"brent","let's walk"
"brent","c on"
"brent","come with me"
"brent","we'll walk"
"brent","there he goes"
"brent","he's very walking"
"brent","oh whoopee"
"brent","these shoes are too small for you aren't they"
"brent","and they're hurting your feet"
"brent","you can't walk so well in them"
"brent","huh"
"brent","or is it okay"
"brent","hard to tell"
"brent","hard to tell with these shoes"
"brent","it's hard to tell"
"brent","yes"
"brent","you're so big"
"brent","aren't you"
"brent","go around the front"
"brent","and we'll look at the tree"
"brent","wanna come into the front and we'll look at the tree"
"brent","hmm"
"brent","this is a"
"brent","oh"
"brent","birds"
"brent","those are seagulls"
"brent","what are they doing here"
"brent","those are seagulls sweet"
"brent","birds"
"brent","seagulls"
"brent","yes"
