"Corpus","Utterance"
"brown","big drum"
"brown","horse"
"brown","who is that"
"brown","those are checkers"
"brown","two checkers yes"
"brown","play checkers"
"brown","big horn"
"brown","get over Mommy"
"brown","shadow"
"brown","I like it"
"brown","why don't you read Shadow yourself"
"brown","that's a terribly small horse for you to ride"
"brown","why don't you look at some of the toys in the basket"
"brown","want to"
"brown","do you want to see what I have"
"brown","what is that"
"brown","not in your mouth"
"brown","let me put them together"
"brown","no put floor"
"brown","no that's his pencil"
"brown","that's not Daddy that's Colin"
"brown","I think perhaps he's going back to school"
"brown","not on the window sill Adam"
"brown","you write on the paper"
"brown","my paper"
"brown","circus"
"brown","sitting in Adam's chair"
"brown","why don't you read it to me"
"brown","dog"
"brown","that's Cathy"
"brown","horn"
"brown","is this a horn"
"brown","how many do you have like this"
"brown","where are you going"
"brown","how does a bunny walk"
"brown","does he walk like you or does he go hop hop hop"
"brown","what are you doing"
"brown","sweep broom"
"brown","is that a broom"
"brown","I thought it was a brush"
"brown","okay"
"brown","Adam Smith"
"brown","is that the bunny name"
"brown","get what"
"brown","what"
"brown","what is it"
"brown","hear a tractor"
"brown","no I think that's a truck"
"brown","if you look out the other window maybe you'll see it"
"brown","did you see the truck"
"brown","no you didn't see it"
"brown","there goes one"
"brown","yes there goes one"
"brown","put the truck where"
"brown","I think that one's too large to go in the window"
"brown","tow truck come here"
"brown","where"
"brown","oh yeah"
"brown","that's a big truck"
"brown","there goes another one"
"brown","busy bulldozer"
"brown","yes look another one"
"brown","Bozo"
"brown","did you show Ursula that"
"brown","do you know what those are"
"brown","I guess she might like to see that"
"brown","what kind of hat is that"
"brown","Adam's hat"
"brown","where have you seen a hat like that"
"brown","what do you think this is"
"brown","Humpty_Dumpty"
"brown","no"
"brown","what is that"
"brown","not the kind you hit but the kind you kick"
"brown","so what kind of ball is that"
"brown","not shoe ball"
"brown","foot ball"
"brown","I saw a tank truck"
"brown","you change the kitty's diaper"
"brown","was he dirty"
"brown","okay kitty what"
"brown","Adam fall toy"
"brown","you didn't fall that time"
"brown","you just sat down"
"brown","that one doesn't have a bunny on"
"brown","those are her paper clips"
"brown","you don't need a pencil"
"brown","you had a pencil"
