"Corpus","Utterance"
"newengland","mhm"
"newengland","okay what I'd like you"
"newengland","you know what we're gonna do"
"newengland","we're gonna sit over here"
"newengland","let's see"
"newengland","can you open it"
"newengland","let's see what's inside"
"newengland","wow"
"newengland","no it's not yours but do you wanna read it"
"newengland","no I think it's theirs"
"newengland","want me to read that to you"
"newengland","early words"
"newengland","what's this"
"newengland","that's right"
"newengland","what's this"
"newengland","what's this"
"newengland","right"
"newengland","I am a little bunny"
"newengland","my name is Franny"
"newengland","this is my room"
"newengland","what does she have in her room"
"newengland","what's this"
"newengland","I brush my teeth when I get up"
"newengland","I wash my face and my hands"
"newengland","I can dress myself"
"newengland","Mommy makes makes my breakfast"
"newengland","I go outdoors to play with my friends"
"newengland","we pick flowers to take home to Mommy"
"newengland","Daddy reads us a story before we go to bed"
"newengland","before we go to sleep"
"newengland","I'm sorry xxx"
"newengland","wanna put this away"
"newengland","okay"
"newengland","what's that"
"newengland","is there something else"
"newengland","let's see what's in this one"
"newengland","oh"
"newengland","what's that"
"newengland","yeah"
"newengland","that's right"
"newengland","oh"
"newengland","did you bite my finger"
"newengland","this is a silly one"
"newengland","wanna try something new"
"newengland","alright"
"newengland","okay wait a minute"
"newengland","wha do we do"
"newengland","we got_to put that one away first right"
"newengland","okay"
"newengland","thank"
"newengland","I don't know"
"newengland","let's see"
"newengland","what is it"
"newengland","can"
"newengland","oh thank"
"newengland","okay"
"newengland","what do you want me to make"
"newengland","a circle"
"newengland","okay"
"newengland","oh you're making a circle too"
"newengland","uhoh"
"newengland","uhoh"
"newengland","xxx"
"newengland","do you wanna watch what we're doing"
"newengland","o what's the matter"
"newengland","that's the one I used"
"newengland","yeah"
"newengland","which one do you want me to use"
"newengland","that one"
"newengland","okay what do you want me to draw this time"
"newengland","a square"
"newengland","okay"
"newengland","that's not a very good square"
"newengland","are you gonna make a square too"
"newengland","you make a big square"
"newengland","o"
"newengland","let's let's try it like this"
"newengland","let's make a triangle"
"newengland","you hold the crayon with Mommy"
"newengland","hold the crayon with Mommy"
"newengland","let's make a triangle"
"newengland","like this"
"newengland","there we go"
"newengland","good job"
"newengland","you're gonna make a triangle now"
"newengland","that's a circle"
"newengland","oh no that's squiggles"
"newengland","okay let's put this one away and"
"newengland","okay"
"newengland","well"
"newengland","are you gonna help me pick up"
"newengland","what do you do"
"newengland","where does this go"
"newengland","okay"
"newengland","no oh other way"
"newengland","wiggle it around"
"newengland","wiggle the top around"
"newengland","no no"
"newengland","not the whole box just the top"
"newengland","that's right"
"newengland","turn it around one more time"
"newengland","this way"
"newengland","close it up"
"newengland","no Chris"
"newengland","alright"
"newengland","okay pick that up"
"newengland","okay"
"newengland","here we go"
"newengland","and what's this one"
"newengland","oh"
"newengland","I"
"newengland","what"
"newengland","oh wow"
"newengland","look at that"
"newengland","yeah"
"newengland","oh what's this"
"newengland","a bed"
"newengland","which rooms do they go in"
"newengland","know what know what"
"newengland","look"
"newengland","look"
"newengland","see"
"newengland","here's the um toy box"
"newengland","see there's a boat"
"newengland","is this like your bed at home"
"newengland","xxx where where where would you pu is this like your room"
"newengland","would you put this bed in your room"
"newengland","why don't you do that"
"newengland","xxx"
"newengland","what's it"
"newengland","what's it look like"
"newengland","it's a kitchen table"
"newengland","like at home"
"newengland","we have a kitchen table and chairs like this too"
"newengland","and this one g in the living room that's a chair like Daddy's isn't it"
"newengland","what's this"
"newengland","what's this"
"newengland","put it in the garage"
"newengland","can you put it in the garage"
"newengland","in in the garage"
"newengland","is this the garage right here"
"newengland","would"
"newengland","that's it"
"newengland","here we go xxx"
"newengland","no I xxx"
"newengland","now let's see"
"newengland","where's where's the Mommy"
"newengland","where's the Mommy girl"
"newengland","the Mommy person"
"newengland","is"
"newengland","yeah"
"newengland","where's the one that's like Christopher"
"newengland","where's the one that's a boy"
"newengland","yeah that's right"
"newengland","where does he play"
"newengland","that looks like it's the Mommy's room"
"newengland","where's where's where's the s boy's room"
"newengland","do you see the train on the wall in the boy's room"
"newengland","come"
"newengland","look"
"newengland","there"
"newengland","look the train"
