"corpus","utterance"
"tardif","baby doll at home"
"tardif","oh that's for us to look at"
"tardif","Rachel left it for us to look at"
"tardif","apple"
"tardif","did you eat an apple today"
"tardif","mhm"
"tardif","last"
"tardif","an apple"
"tardif","that looks like daddy's car doesn't it"
"tardif","y"
"tardif","it is"
"tardif","what are these"
"tardif","apple"
"tardif","what"
"tardif","are"
"tardif","shoes"
"tardif","are these shoes"
"tardif","do you wanna look further"
"tardif","daddy's car that's right"
"tardif","volleyball"
"tardif","uh that's a soccer ball"
"tardif","it looks more like a volleyball"
"tardif","is this a dandelion"
"tardif","it's a flower"
"tardif","it's a flower"
"tardif","your sister picked one today"
"tardif","and planted it in the dirt"
"tardif","is that a kitty cat"
"tardif","it's a lion"
"tardif","rawr"
"tardif","dolly"
"tardif","baby doll"
"tardif","wanna look back here"
"tardif","what do ya need"
"tardif","uhhuh"
"tardif","from wired"
"tardif","is that just too fascinating"
"tardif","is it airplane"
"tardif","is it airplane"
"tardif","up in the sky"
"tardif","what's this"
"tardif","Jules look what I have here"
"tardif","what's that"
"tardif","oops"
"tardif","trying to help you ignore this"
"tardif","Julia what's this"
"tardif","what"
"tardif","what"
"tardif","doggie"
"tardif","you gonna say it for me"
"tardif","is Rachel out there"
"tardif","mhm"
"tardif","do"
"tardif","doggie doggie doggie doggie doggie"
"tardif","you like doggies"
"tardif","what"
"tardif","what"
"tardif","what"
"tardif","you wanna look outside"
"tardif","we'll go outside later"
"tardif","wanna look at a book for now"
"tardif","ah there's dandelions"
"tardif","flowers just like sister found today"
"tardif","flowers"
"tardif","oh and here's a comb"
"tardif","you know what you do with a comb"
"tardif","comb"
"tardif","yeah"
"tardif","comb mommy's hair"
"tardif","can you comb mommy's hair"
"tardif","funny"
"tardif","yeah cello"
"tardif","yeah like you should know"
"tardif","it's a mouse"
"tardif","squeak squeak squeak squeak mouse"
"tardif","itsy bitsy mouse went up the front of you"
"tardif","mhm"
"tardif","ah what's this"
"tardif","is it a teddy bear"
"tardif","haha"
"tardif","what"
